image,threshold
kaz02_0624,116.0
kaz02_0625,119.0
kaz02_0626,116.0
kaz02_0627,122.0
kaz02_0628,117.0
kaz02_0629,119.0
kaz02_0630,118.0
kaz02_0631,121.0
kaz02_0632,116.0
kaz02_0633,125.0
kaz02_0634,120.0
kaz02_0635,121.0
kaz02_0636,121.0
kaz02_0637,123.0
kaz02_0638,119.0
kaz02_0639,121.0
kaz02_0640,120.0
kaz02_0641,125.0
kaz02_0642,119.0
kaz02_0643,120.0
kaz02_0644,122.0
kaz02_0645,125.0
kaz02_0646,118.0
kaz02_0647,120.0
kaz02_0648,122.0
kaz02_0649,117.0
kaz02_0650,118.0
kaz02_0651,120.0
kaz02_0652,114.0
kaz02_0653,117.0
kaz02_0654,121.0
kaz02_0655,118.0
kaz02_0656,115.0
kaz02_0657,112.0
kaz02_0658,118.0
kaz02_0659,115.0
kaz02_0660,114.0
kaz02_0661,112.0
kaz02_0662,114.0
kaz02_0663,115.0
kaz02_0664,115.0
kaz02_0665,119.0
kaz02_0666,118.0
kaz02_0667,120.0
kaz02_0668,117.0
kaz02_0669,118.0
kaz02_0670,116.0
kaz02_0671,118.0
kaz02_0672,116.0
kaz02_0673,115.0
kaz02_0674,115.0
kaz02_0675,118.0
kaz02_0676,112.0
kaz02_0677,114.0
kaz02_0678,111.0
kaz02_0679,116.0
kaz02_0680,112.0
kaz02_0681,110.0
kaz02_0682,113.0
kaz02_0683,114.0
kaz02_0684,106.0
kaz02_0685,110.0
kaz02_0686,111.0
kaz02_0687,112.0
kaz02_0688,107.0
kaz02_0689,108.0
kaz02_0690,115.0
kaz02_0691,117.0
kaz02_0692,109.0
kaz02_0693,112.0
kaz02_0694,115.0
kaz02_0695,118.0
kaz02_0696,110.0
kaz02_0697,110.0
kaz02_0698,111.0
kaz02_0699,112.0
kaz02_0700,107.0
kaz02_0701,110.0
kaz02_0702,111.0
kaz02_0703,113.0
kaz02_0704,108.0
kaz02_0705,113.0
kaz02_0706,111.0
kaz02_0707,116.0
kaz02_0708,111.0
kaz02_0709,113.0
kaz02_0710,116.0
kaz02_0711,118.0
kaz02_0712,115.0
kaz02_0713,121.0
kaz02_0714,115.0
kaz02_0715,118.0
kaz02_0716,115.0
kaz02_0717,118.0
kaz02_0718,114.0
kaz02_0719,116.0
kaz02_0720,116.0
kaz02_0721,115.0
kaz02_0722,111.0
kaz02_0723,113.0
kaz02_0724,111.0
kaz02_0725,114.0
kaz02_0726,110.0
kaz02_0727,111.0
kaz02_0728,113.0
kaz02_0729,122.0
kaz02_0730,113.0
kaz02_0731,115.0
kaz02_0732,116.0
kaz02_0733,121.0
kaz02_0734,114.0
kaz02_0735,118.0
kaz02_0736,116.0
kaz02_0737,112.0
kaz02_0738,113.0
kaz02_0739,116.0
kaz02_0740,114.0
kaz02_0741,117.0
kaz02_0742,113.0
kaz02_0743,116.0
kaz02_0744,113.0
kaz02_0745,116.0
kaz02_0746,118.0
kaz02_0747,121.0
kaz02_0748,115.0
kaz02_0749,117.0
kaz02_0750,117.0
kaz02_0751,120.0
kaz02_0752,116.0
kaz02_0753,118.0
kaz02_0754,113.0
kaz02_0755,116.0
kaz02_0756,114.0
kaz02_0757,117.0
kaz02_0758,113.0
kaz02_0759,116.0
kaz02_0760,114.0
kaz02_0761,115.0
kaz02_0762,113.0
kaz02_0763,116.0
kaz02_0764,112.0
kaz02_0765,116.0
kaz02_0766,110.0
kaz02_0767,116.0
kaz02_0768,111.0
kaz02_0769,118.0
kaz02_0770,118.0
kaz02_0771,123.0
kaz02_0772,115.0
kaz02_0773,119.0
kaz02_0774,115.0
kaz02_0775,121.0
kaz02_0776,113.0
kaz02_0777,115.0
kaz02_0778,115.0
kaz02_0779,121.0
kaz02_0780,112.0
kaz02_0781,116.0
kaz02_0782,115.0
kaz02_0783,118.0
kaz02_0784,111.0
kaz02_0785,115.0
kaz02_0786,114.0
kaz02_0787,118.0
kaz02_0788,111.0
kaz02_0789,115.0
kaz02_0790,116.0
kaz02_0791,120.0
kaz02_0792,112.0
kaz02_0793,115.0
kaz02_0794,116.0
kaz02_0795,120.0
kaz02_0796,114.0
kaz02_0797,117.0
kaz02_0798,117.0
kaz02_0799,121.0
kaz02_0800,112.0
kaz02_0801,117.0
kaz02_0802,114.0
kaz02_0803,118.0
kaz02_0804,114.0
kaz02_0805,119.0
kaz02_0806,114.0
kaz02_0807,117.0
kaz02_0808,113.0
kaz02_0809,119.0
kaz02_0810,111.0
kaz02_0811,114.0
kaz02_0812,116.0
kaz02_0813,119.0
kaz02_0814,110.0
kaz02_0815,114.0
kaz02_0816,114.0
kaz02_0817,117.0
kaz02_0818,114.0
kaz02_0819,120.0
kaz02_0820,116.0
kaz02_0821,118.0
kaz02_0822,116.0
kaz02_0823,119.0
kaz02_0824,113.0
kaz02_0825,120.0
kaz02_0826,113.0
kaz02_0827,117.0
kaz02_0828,116.0
kaz02_0829,119.0
kaz02_0830,114.0
kaz02_0831,119.0
kaz02_0832,115.0
kaz02_0833,115.0
kaz02_0834,110.0
kaz02_0835,114.0
kaz02_0836,110.0
kaz02_0837,115.0
kaz02_0838,109.0
kaz02_0839,111.0
kaz02_0840,109.0
kaz02_0841,114.0
kaz02_0842,109.0
kaz02_0843,114.0
kaz02_0844,113.0
kaz02_0845,115.0
kaz02_0846,114.0
kaz02_0847,116.0
kaz02_0848,111.0
kaz02_0849,114.0
kaz02_0850,107.0
kaz02_0851,114.0
kaz02_0852,113.0
kaz02_0853,114.0
kaz02_0854,111.0
kaz02_0855,115.0
kaz02_0856,110.0
kaz02_0857,118.0
kaz02_0858,111.0
kaz02_0859,113.0
kaz02_0860,114.0
kaz02_0861,119.0
kaz02_0862,113.0
kaz02_0863,116.0
kaz02_0864,116.0
kaz02_0865,116.0
kaz02_0866,114.0
kaz02_0867,120.0
kaz02_0868,114.0
kaz02_0869,116.0
kaz02_0870,114.0
kaz02_0871,119.0
kaz02_0872,113.0
kaz02_0873,119.0
kaz02_0874,109.0
kaz02_0875,114.0
kaz02_0876,116.0
kaz02_0877,121.0
kaz02_0878,109.0
kaz02_0879,113.0
kaz02_0880,117.0
kaz02_0881,122.0
kaz02_0882,108.0
kaz02_0883,112.0
kaz02_0884,117.0
kaz02_0885,121.0
kaz02_0886,116.0
kaz02_0887,122.0
kaz02_0888,108.0
kaz02_0889,112.0
kaz02_0890,109.0
kaz02_0891,114.0
kaz02_0892,115.0
kaz02_0893,119.0
kaz02_0894,114.0
kaz02_0895,117.0
kaz02_0896,105.0
kaz02_0897,121.0
kaz02_0898,107.0
kaz02_0899,112.0
kaz02_0900,116.0
kaz02_0901,119.0
kaz02_0902,111.0
kaz02_0903,116.0
kaz02_0904,122.0
kaz02_0905,124.0
kaz02_0906,108.0
kaz02_0907,114.0
kaz02_0908,116.0
kaz02_0909,120.0
kaz02_0910,114.0
kaz02_0911,117.0
kaz02_0912,112.0
kaz02_0913,116.0
kaz02_0914,116.0
kaz02_0915,120.0
kaz02_0916,116.0
kaz02_0917,118.0
kaz02_0918,113.0
kaz02_0919,118.0
kaz02_0920,113.0
kaz02_0921,123.0
kaz02_0922,119.0
kaz02_0923,125.0
kaz02_0924,119.0
kaz02_0925,120.0
kaz02_0926,116.0
kaz02_0927,121.0
kaz02_0928,111.0
kaz02_0929,113.0
kaz02_0930,113.0
kaz02_0931,118.0
kaz02_0932,110.0
kaz02_0933,116.0
kaz02_0934,112.0
kaz02_0935,117.0
kaz02_0936,111.0
kaz02_0937,123.0
kaz02_0938,114.0
kaz02_0939,120.0
kaz02_0940,118.0
kaz02_0941,121.0
kaz02_0942,114.0
kaz02_0943,119.0
kaz02_0944,116.0
kaz02_0945,125.0
kaz02_0946,114.0
kaz02_0947,121.0
kaz02_0948,121.0
kaz02_0949,122.0
kaz02_0950,113.0
kaz02_0951,118.0
kaz02_0952,118.0
kaz02_0953,124.0
kaz02_0954,114.0
kaz02_0955,120.0
kaz02_0956,118.0
kaz02_0957,119.0
kaz02_0958,115.0
kaz02_0959,118.0
kaz02_0960,116.0
kaz02_0961,116.0
kaz02_0962,113.0
kaz02_0963,117.0
kaz02_0964,113.0
kaz02_0965,118.0
kaz02_0966,113.0
kaz02_0967,116.0
kaz02_0968,111.0
kaz02_0969,113.0
kaz02_0970,114.0
kaz02_0971,117.0
kaz02_0972,113.0
kaz02_0973,116.0
kaz02_0974,113.0
kaz02_0975,117.0
kaz02_0976,112.0
kaz02_0977,114.0
kaz02_0978,113.0
kaz02_0979,117.0
kaz02_0980,111.0
kaz02_0981,115.0
kaz02_0982,112.0
kaz02_0983,116.0
kaz02_0984,111.0
kaz02_0985,118.0
kaz02_0986,115.0
kaz02_0987,120.0
kaz02_0988,113.0
kaz02_0989,117.0
kaz02_0990,113.0
kaz02_0991,117.0
kaz02_0992,113.0
kaz02_0993,119.0
kaz02_0994,113.0
kaz02_0995,118.0
kaz02_0996,115.0
kaz02_0997,120.0
kaz02_0998,113.0
kaz02_0999,118.0
kaz02_1000,116.0
kaz02_1001,124.0
kaz02_1002,124.0
kaz02_1003,127.0
kaz02_1004,119.0
kaz02_1005,118.0
kaz02_1006,127.0
kaz02_1007,128.0
kaz02_1008,117.0
kaz02_1009,117.0
kaz02_1010,116.0
kaz02_1011,120.0
kaz02_1012,114.0
kaz02_1013,117.0
kaz02_1014,118.0
kaz02_1015,122.0
kaz02_1016,110.0
kaz02_1017,118.0
kaz02_1018,113.0
kaz02_1019,116.0
kaz02_1020,114.0
kaz02_1021,119.0
kaz02_1022,113.0
kaz02_1023,117.0
kaz02_1024,114.0
kaz02_1025,125.0
kaz02_1026,112.0
kaz02_1027,116.0
kaz02_1028,120.0
kaz02_1029,125.0
kaz02_1030,112.0
kaz02_1031,115.0
kaz02_1032,120.0
kaz02_1033,119.0
kaz02_1034,114.0
kaz02_1035,118.0
kaz02_1036,114.0
kaz02_1037,118.0
kaz02_1038,113.0
kaz02_1039,118.0
kaz02_1040,114.0
kaz02_1041,123.0
kaz02_1042,115.0
kaz02_1043,120.0
kaz02_1044,120.0
kaz02_1045,124.0
kaz02_1046,115.0
kaz02_1047,120.0
kaz02_1048,118.0
kaz02_1049,125.0
kaz02_1050,112.0
kaz02_1051,118.0
kaz02_1052,120.0
kaz02_1053,126.0
kaz02_1054,115.0
kaz02_1055,119.0
kaz02_1056,120.0
kaz02_1057,124.0
kaz02_1058,119.0
kaz02_1059,124.0
kaz02_1060,119.0
kaz02_1061,125.0
kaz02_1062,118.0
kaz02_1063,122.0
kaz02_1064,121.0
